0.0 23.04 20.25 4.75 15.22 31.67 10.99 0.0 49.12 0.0 0.0 0.0 6.01 0.0 0.0 0.0 4.44 22.84 6.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.32 72.71 0.0 0.0
0.0 3.72 10.84 1.44 0.0 0.0 9.21 2.67 7.81 76.32 3.82 0.0 0.0 0.0 11.06 76.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08 40.24 0.82 0.0 0.0 0.0 23.04
0.0 0.0 0.0 0.0 22.17 0.47 37.97 0.0 4.18 1.98 0.93 0.0 0.0 0.46 1.44 0.0 10.95 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.68 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 13.23 16.96 17.54 76.32 0.96 25.24 76.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4.23 0.0 1.29 12.5 8.56 7.0 6.46 2.61 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.13 3.52 0.0 0.0 0.0 0.0 0.0 0.0 2.05 76.32 2.02 0.0 0.0
13.8 5.18 48.22 0.0 0.0 10.38 0.93 0.0 11.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.65 6.24 5.72 0.0 0.0 0.0 0.0 15.46 0.0 0.0 0.0 0.0
1.44 8.17 0.0 0.0 0.0 0.0 0.0 7.16 35.23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.1 0.0
0.0 0.0 2.02 15.33 13.91 0.0 0.0 0.0 64.41 4.54 2.28 7.46 0.42 30.32 5.73 8.21 6.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.87 26.56 9.52 0.0 2.07 30.64 15.1 76.32 9.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 19.81 5.42 1.55 8.67 7.74 0.0 0.0 0.0
0.0 76.32 0.45 1.88 0.0 0.0 61.48 1.32 7.11 76.32 9.82 0.0 0.0 0.0 0.0 0.0 16.21 4.8 0.0 0.0 0.0 0.0 76.32 0.0 0.0 0.0 0.0 52.05 4.26 0.0
0.0 4.51 0.0 0.0 0.0 0.0 0.0 32.33 0.0 2.84 6.24 34.66 0.56 6.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.99 0.16 70.52 0.0 0.0
0.0 3.08 0.0 0.0 0.0 8.21 7.07 19.6 70.64 3.3 76.32 3.08 0.0 38.25 28.94 28.24 16.94 33.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1 0.0 0.0
0.0 0.0 1.48 0.0 0.0 0.0 1.94 1.24 0.0 32.23 0.0 76.32 76.32 2.95 24.43 23.14 13.62 0.0 0.0 0.0 9.31 5.7 7.43 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 31.98 10.23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.49 0.65 0.0 1.39 0.0 0.0 0.0 0.0 15.23 0.0 0.0 0.0 0.0
6.35 0.0 1.93 5.36 7.33 8.35 13.49 0.0 17.76 0.0 0.0 0.0 0.0 3.39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.64 8.28 0.0 0.0 0.0
0.94 4.36 3.05 0.0 3.06 12.69 4.32 27.89 0.0 0.0 1.18 32.64 6.73 76.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.54 0.0 0.0 13.82 46.76 6.05 11.64 0.0
8.45 1.72 0.0 22.74 6.96 30.17 6.3 8.25 0.0 30.39 76.32 10.92 0.0 0.0 4.5 0.0 0.0 0.0 0.0 0.0 0.0 11.95 8.82 0.0 0.0 26.54 2.86 0.9 0.0 0.0
0.0 4.94 16.35 0.0 17.37 12.66 0.46 10.77 1.62 10.13 0.0 0.0 0.0 0.0 0.0 1.28 0.1 0.0 0.0 0.0 0.0 0.0 4.57 49.83 2.03 0.0 0.0 0.0 0.0 0.0
5.2 43.7 0.0 0.0 0.78 8.24 0.0 72.88 0.0 0.0 0.0 0.79 0.0 0.0 0.0 2.93 3.57 3.32 0.0 15.39 0.0 0.0 0.0 0.0 0.0 3.55 0.0 0.0 0.0 12.11
